epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,158,,,,,0.33668044209480286,1.108166217803955
0,158,,,0.33714061975479126,1.1454613208770752,,
1,317,,,,,0.36444181203842163,1.071079969406128
1,317,,,0.3582119047641754,1.095232605934143,,
2,476,,,,,0.47548729181289673,1.0475088357925415
2,476,,,0.40764081478118896,1.0698856115341187,,
3,635,,,,,0.5251033902168274,1.030374526977539
3,635,,,0.4314690828323364,1.0584921836853027,,
4,794,,,,,0.5280566811561584,1.0180078744888306
4,794,,,0.4464356005191803,1.04845130443573,,
5,953,,,,,0.5363260507583618,1.0037782192230225
5,953,,,0.46711304783821106,1.0310643911361694,,
6,1112,,,,,0.5375073552131653,0.9911388158798218
6,1112,,,0.4690823256969452,1.0231858491897583,,
7,1271,,,,,0.5357353687286377,0.9794164299964905
7,1271,,,0.4751870930194855,1.0133966207504272,,
8,1430,,,,,0.5434140563011169,0.970283567905426
8,1430,,,0.4777471423149109,1.0079665184020996,,
9,1589,,,,,0.5481393933296204,0.9626626968383789
9,1589,,,0.48385190963745117,0.999248743057251,,
10,1748,,,,,0.5522740483283997,0.9568191766738892
10,1748,,,0.48975974321365356,0.9895612597465515,,
11,1907,,,,,0.5611340999603271,0.9484997987747192
11,1907,,,0.4895628094673157,0.9863576292991638,,
12,2066,,,,,0.5510927438735962,0.9435544610023499
12,2066,,,0.49625837802886963,0.9816468358039856,,
13,2225,,,,,0.5522740483283997,0.938758909702301
13,2225,,,0.5047262907028198,0.9774591326713562,,
14,2384,,,,,0.5658594369888306,0.9358562231063843
14,2384,,,0.5003938674926758,0.9755594730377197,,
15,2543,,,,,0.5599527359008789,0.9304890036582947
15,2543,,,0.49291059374809265,0.972988486289978,,
16,2702,,,,,0.5617247223854065,0.9331420063972473
16,2702,,,0.4936982989311218,0.9754459261894226,,
17,2861,,,,,0.5646780729293823,0.9270665645599365
17,2861,,,0.49822765588760376,0.9684053659439087,,
18,3020,,,,,0.5629060864448547,0.9244497418403625
18,3020,,,0.49606144428253174,0.9695904850959778,,
19,3179,,,,,0.5694034099578857,0.9223350286483765
19,3179,,,0.5078771114349365,0.9662054181098938,,
20,3338,,,,,0.5658594369888306,0.9185667634010315
20,3338,,,0.506695568561554,0.9658104181289673,,
21,3497,,,,,0.5629060864448547,0.9193602204322815
21,3497,,,0.5013784766197205,0.9640884399414062,,
22,3656,,,,,0.577082097530365,0.9196644425392151
22,3656,,,0.5027570128440857,0.9584606885910034,,
23,3815,,,,,0.5623154044151306,0.9174787402153015
23,3815,,,0.5076801776885986,0.9587671756744385,,
24,3974,,,,,0.5652687549591064,0.9174339175224304
24,3974,,,0.5100433230400085,0.9590044021606445,,
25,4133,,,,,0.5652687549591064,0.9140520691871643
25,4133,,,0.5118156671524048,0.9567566514015198,,
26,4292,,,,,0.5611340999603271,0.9146547317504883
26,4292,,,0.5013784766197205,0.9613709449768066,,
27,4451,,,,,0.5646780729293823,0.9131953120231628
27,4451,,,0.5047262907028198,0.9594175815582275,,
28,4610,,,,,0.5806261301040649,0.9118533134460449
28,4610,,,0.5116187334060669,0.9560468196868896,,
29,4769,,,,,0.5629060864448547,0.9100965261459351
29,4769,,,0.5124064683914185,0.9554952383041382,,
30,4928,,,,,0.5823981165885925,0.908888578414917
30,4928,,,0.5194958448410034,0.9536841511726379,,
31,5087,,,,,0.5640873908996582,0.9096405506134033
31,5087,,,0.5139818787574768,0.954910933971405,,
32,5246,,,,,0.5841701030731201,0.9076711535453796
32,5246,,,0.5133910775184631,0.956436038017273,,
33,5405,,,,,0.5723567605018616,0.9077355265617371
33,5405,,,0.5155572891235352,0.9482471942901611,,
34,5564,,,,,0.5794447660446167,0.9071877002716064
34,5564,,,0.5173296332359314,0.9535681009292603,,
35,5723,,,,,0.5688127875328064,0.906157910823822
35,5723,,,0.5151634216308594,0.9518900513648987,,
36,5882,,,,,0.5865327715873718,0.906974196434021
36,5882,,,0.5086648464202881,0.9524051547050476,,
37,6041,,,,,0.5800354480743408,0.9059610962867737
37,6041,,,0.5090587139129639,0.9541779160499573,,
38,6200,,,,,0.5688127875328064,0.9051061868667603
38,6200,,,0.5120126008987427,0.9481346607208252,,
39,6359,,,,,0.583579421043396,0.9035394191741943
39,6359,,,0.5183143019676208,0.954314649105072,,
40,6518,,,,,0.5747194290161133,0.9033636450767517
40,6518,,,0.5238282680511475,0.948844313621521,,
41,6677,,,,,0.5682221055030823,0.9044114947319031
41,6677,,,0.5131941437721252,0.9520857334136963,,
42,6836,,,,,0.567040741443634,0.9048941731452942
42,6836,,,0.5179204344749451,0.9508043527603149,,
43,6995,,,,,0.5753101110458374,0.9033516645431519
43,6995,,,0.5220559239387512,0.9452000856399536,,
44,7154,,,,,0.570584774017334,0.9027416110038757
44,7154,,,0.5220559239387512,0.9495687484741211,,
45,7313,,,,,0.5646780729293823,0.9027174711227417
45,7313,,,0.5238282680511475,0.9438575506210327,,
46,7472,,,,,0.5759007930755615,0.9036864638328552
46,7472,,,0.5185112357139587,0.9497143626213074,,
47,7631,,,,,0.5652687549591064,0.9032468199729919
47,7631,,,0.5175265669822693,0.9488205909729004,,
48,7790,,,,,0.5629060864448547,0.903904914855957
48,7790,,,0.5185112357139587,0.9508259296417236,,
49,7949,,,,,0.5717660784721375,0.901578426361084
49,7949,,,0.5238282680511475,0.9445856809616089,,
50,8108,,,,,0.5682221055030823,0.9010208249092102
50,8108,,,0.5179204344749451,0.9498566389083862,,
51,8267,,,,,0.5699940919876099,0.9002442359924316
51,8267,,,0.5214651226997375,0.9487771987915039,,
52,8426,,,,,0.5735381245613098,0.9000539183616638
52,8426,,,0.5145726799964905,0.9463680982589722,,
53,8585,,,,,0.5794447660446167,0.8991211652755737
53,8585,,,0.5252067446708679,0.9457382559776306,,
54,8744,,,,,0.5587714314460754,0.9020094871520996
54,8744,,,0.5171327590942383,0.9488949179649353,,
55,8903,,,,,0.5723567605018616,0.8992337584495544
55,8903,,,0.5143757462501526,0.9487823247909546,,
56,9062,,,,,0.5753101110458374,0.9012293219566345
56,9062,,,0.5183143019676208,0.94528728723526,,
57,9221,,,,,0.5788540840148926,0.897668719291687
57,9221,,,0.5208743810653687,0.9448102712631226,,
58,9380,,,,,0.5676314234733582,0.8988999128341675
58,9380,,,0.5208743810653687,0.9457380771636963,,
59,9539,,,,,0.5640873908996582,0.8992239236831665
59,9539,,,0.5112248659133911,0.9473631978034973,,
60,9698,,,,,0.5776727795600891,0.8978556394577026
60,9698,,,0.5216620564460754,0.9453656077384949,,
61,9857,,,,,0.5682221055030823,0.896517813205719
